Name	NameGBS	Nova
962409	X962409.250370255	962409
BGM0004	CNPMF4.250370278	BGM0004
BGM0005	CNPMF5.250370279	BGM0005
BGM0019	CNPMF19.250370327	BGM0019
BGM0020	CNPMF20.250370244	BGM0020
BGM0021	CNPMF21.250370245	BGM0021
BGM0022	CNPMF22.250370256	BGM0022
BGM0024	BGM0024.250437180	BGM0024
BGM0029	CNPMF29.250370292	BGM0029
BGM0030	CNPMF30.250370293	BGM0030
BGM0032	CNPMF32.250370305	BGM0032
BGM0036	CNPMF36.250370328	BGM0036
BGM0037	CNPMF37.250370329	BGM0037
BGM0044	CNPMF44.250370271	BGM0044
BGM0046	CNPMF46.250370283	BGM0046
BGM0048	CNPMF48.250370295	BGM0048
BGM0050	CNPMF50.250370307	BGM0050
BGM0052	CNPMF52.250370319	BGM0052
BGM0054	CNPMF54.250370331	BGM0054
BGM0056	CNPMF56.250370248	BGM0056
BGM0061	CNPMF61.250370272	BGM0061
BGM0062	CNPMF62.250370273	BGM0062
BGM0065	CNPMF65.250370285	BGM0065
BGM0067	CNPMF67.250370297	BGM0067
BGM0069	CNPMF69.250370308	BGM0069
BGM0070	CNPMF70.250370309	BGM0070
BGM0073	CNPMF73.250370320	BGM0073
BGM0076	CNPMF76.250370333	BGM0076
BGM0080	CNPMF80.250370250	BGM0080
BGM0083	CNPMF83.250370262	BGM0083
BGM0084	CNPMF84.250370263	BGM0084
BGM0087	CNPMF87.250370275	BGM0087
BGM0088	CNPMF88.250370286	BGM0088
BGM0090	CNPMF90.250370298	BGM0090
BGM0091	CNPMF91.250370299	BGM0091
BGM0093	CNPMF93.250370310	BGM0093
BGM0096	CNPMF96.250370322	BGM0096
BGM0116	CNPMF116.250370277	BGM0116
BGM0119	CNPMF119.250370289	BGM0119
BGM0123	CNPMF123.250370313	BGM0123
BGM0124	CNPMF124.250370324	BGM0124
BGM0126	CNPMF126.250370325	BGM0126
BGM0130	CNPMF130.250370369	BGM0130
BGM0132	CNPMF132.250370382	BGM0132
BGM0133	CNPMF133.250370393	BGM0133
BGM0134	CNPMF134.250370394	BGM0134
BGM0137	CNPMF137.250370417	BGM0137
BGM0140	BGM0140.250437175	BGM0140
BGM0145	CNPMF145.250370441	BGM0145
BGM0150	CNPMF150.250370371	BGM0150
BGM0151	CNPMF151.250370372	BGM0151
BGM0155	CNPMF155.250370395	BGM0155
BGM0156	CNPMF156.250370396	BGM0156
BGM0157	CNPMF157.250370407	BGM0157
BGM0160	CNPMF160.250370419	BGM0160
BGM0161	CNPMF161.250370420	BGM0161
BGM0162	CNPMF162.250370431	BGM0162
BGM0163	CNPMF163.250370432	BGM0163
BGM0164	CNPMF164.250370443	BGM0164
BGM0167	CNPMF167.250370456	BGM0167
BGM0168	CNPMF168.250370373	BGM0168
BGM0169	CNPMF169.250370374	BGM0169
BGM0170	CNPMF170.250370385	BGM0170
BGM0171	CNPMF171.250370386	BGM0171
BGM0179	CNPMF179.250370421	BGM0179
BGM0184	CNPMF184.250370445	BGM0184
BGM0185	CNPMF185.250370446	BGM0185
BGM0187	CNPMF187.250370458	BGM0187
BGM0188	CNPMF188.250370375	BGM0188
BGM0189	CNPMF189.250370376	BGM0189
BGM0199	CNPMF199.250370388	BGM0199
BGM0202	BGM0202.250437176	BGM0202
BGM0208	CNPMF208.250370423	BGM0208
