Genotipo,Trait,u + g,u+g+gem,MHPRVG,MHPRVG*MG
962409,DMC,36.2946,36.4576,1.0568,36.4278
BGM0004,DMC,36.7286,36.9304,1.0751,37.0601
BGM0005,DMC,35.9969,36.1333,1.0516,36.2498
BGM0019,DMC,35.8948,36.0221,1.0441,35.9929
BGM0020,DMC,34.6301,34.6443,1.0047,34.6328
BGM0021,DMC,35.8063,35.9257,1.0439,35.9829
BGM0022,DMC,35.161,35.2227,1.0222,35.2374
BGM0024,DMC,34.7403,34.7644,1.0087,34.7712
BGM0029,DMC,33.3314,33.2295,0.955,32.9209
BGM0030,DMC,33.2616,33.1535,0.9567,32.9794
BGM0032,DMC,33.8554,33.8003,0.9743,33.5841
BGM0036,DMC,36.7481,36.9517,1.0738,37.0155
BGM0037,DMC,36.5125,36.695,1.066,36.7464
BGM0044,DMC,33.7006,33.6318,0.9734,33.5559
BGM0046,DMC,33.4888,33.401,0.9656,33.2838
BGM0048,DMC,35.7651,35.8808,1.0401,35.8523
BGM0050,DMC,33.596,33.5178,0.9698,33.4287
BGM0052,DMC,33.115,32.9937,0.9525,32.8336
BGM0054,DMC,32.6117,32.4455,0.9291,32.0274
BGM0056,DMC,33.6171,33.5408,0.9704,33.4501
BGM0061,DMC,36.6489,36.8437,1.0723,36.9646
BGM0062,DMC,31.4648,31.196,0.9006,31.0434
BGM0065,DMC,33.2015,33.088,0.9571,32.9934
BGM0066,DMC,32.6003,32.4331,0.936,32.2654
BGM0067,DMC,32.7331,32.5777,0.9404,32.4154
BGM0069,DMC,34.6926,34.7125,1.0041,34.6132
BGM0070,DMC,34.8058,34.8357,1.0095,34.7993
BGM0073,DMC,36.4822,36.662,1.0671,36.7833
BGM0076,DMC,37.6346,37.9174,1.1066,38.1455
BGM0080,DMC,35.1512,35.212,1.019,35.1251
BGM0083,DMC,32.9839,32.8509,0.9452,32.5826
BGM0084,DMC,34.9792,35.0247,1.0166,35.0427
BGM0087,DMC,33.1389,33.0198,0.9552,32.9267
BGM0088,DMC,33.3228,33.2201,0.959,33.0589
BGM0090,DMC,35.3074,35.3822,1.0286,35.4576
BGM0091,DMC,33.337,33.2356,0.9592,33.065
BGM0093,DMC,35.0199,35.0689,1.017,35.0566
BGM0096,DMC,33.1802,33.0647,0.9554,32.9337
BGM0116,DMC,35.3729,35.4536,1.0285,35.4547
BGM0119,DMC,36.2797,36.4414,1.0598,36.5309
BGM0123,DMC,31.2591,30.972,0.8887,30.6347
BGM0124,DMC,34.5312,34.5366,0.9996,34.4559
BGM0126,DMC,34.0218,33.9816,0.9822,33.8561
BGM0130,DMC,33.1844,33.0694,0.9558,32.9473
BGM0132,DMC,30.5553,30.2051,0.8662,29.8593
BGM0133,DMC,33.8862,33.8339,0.9789,33.7435
BGM0134,DMC,36.7145,36.9151,1.0741,37.025
BGM0137,DMC,32.9726,32.8386,0.9469,32.6423
BGM0140,DMC,36.8963,37.1131,1.0821,37.3008
BGM0145,DMC,32.5334,32.3601,0.9354,32.2438
BGM0150,DMC,34.3773,34.3689,0.9951,34.3027
BGM0151,DMC,33.5862,33.507,0.9679,33.3635
BGM0155,DMC,34.6227,34.6363,1.0024,34.5546
BGM0156,DMC,34.5293,34.5345,1.0015,34.5229
BGM0157,DMC,34.865,34.9002,1.0135,34.9352
BGM0160,DMC,35.5935,35.6939,1.0442,35.9932
BGM0161,DMC,34.4111,34.4057,0.9975,34.3865
BGM0162,DMC,35.3236,35.3999,1.0271,35.4061
BGM0163,DMC,37.1529,37.3927,1.0902,37.582
BGM0164,DMC,35.2262,35.2937,1.0238,35.2929
BGM0167,DMC,34.292,34.2759,0.9929,34.2265
