L,Parce,CLONE,LOCATION,REP,Interacao,R,FRY,AGY,PLH,DMC,DRY
1,1,962409,1,1,9624091,1,39.5,18.47,1.93,36.9,12.73875
1,2,BGM0004,1,1,BGM00041,1,14.32,24.74,1.73,37.35,4.68264
1,3,BGM0005,1,1,BGM00051,1,11.29,18.23,2.08,34.55,3.37571
1,4,BGM0019,1,1,BGM00191,1,29.08,24.74,2.43,34.55,8.69492
1,5,BGM0020,1,1,BGM00201,1,20.05,12.15,2.17,36.9,6.466125
1,6,BGM0021,1,1,BGM00211,1,19.97,21.7,2.3,36.05,6.27058
1,7,BGM0022,1,1,BGM00221,1,20.42,18.23,1.45,37.28,6.663046
1,8,BGM0024,1,1,BGM00241,1,21.7,27.78,1.58,34,6.36895
1,9,BGM0029,1,1,BGM00291,1,53.47,76.16,2.03,35.27,16.372514
1,10,BGM0030,1,1,BGM00301,1,15.19,15.63,1.9,34.38,4.515987
1,11,BGM0036,1,1,BGM00361,1,12.96,23.77,2.08,38.53,4.390848
1,12,BGM0037,1,1,BGM00371,1,26.48,26.04,1.85,37.28,8.640424
1,13,BGM0044,1,1,BGM00441,1,56.72,47.8,1.77,34.9,17.1578
1,14,BGM0046,1,1,BGM00461,1,54.69,31.69,2.3,34.36,16.248399
1,15,BGM0048,1,1,BGM00481,1,29.08,29.52,2.2,30.68,7.569524
1,16,BGM0050,1,1,BGM00501,1,32.38,18.66,2.15,30.99,8.528892
1,17,BGM0052,1,1,BGM00521,1,61.11,30.28,2.37,31.42,16.359147
1,18,BGM0054,1,1,BGM00541,1,24.31,43.75,2.1,32.67,6.811662
1,19,BGM0056,1,1,BGM00561,1,27.55,16.2,2.07,34.04,8.096945
1,20,BGM0061,1,1,BGM00611,1,29.17,40.84,2.2,36.26,9.220637
1,21,BGM0062,1,1,BGM00621,1,16.49,1.65,1.82,31.13,4.366552
1,22,BGM0066,1,1,BGM00661,1,7.38,1.48,2.07,32.67,2.067876
1,23,BGM0067,1,1,BGM00671,1,24.31,2.26,1.87,30.46,6.274411
1,24,BGM0069,1,1,BGM00691,1,15.8,17.01,2.13,36.9,5.0955
1,25,BGM0073,1,1,BGM00731,1,26.91,2.69,1.97,38.1,9.001395
1,26,BGM0076,1,1,BGM00761,1,24.31,2.78,1.7,37.63,8.017438
1,27,BGM0080,1,1,BGM00801,1,52.26,4.38,2.03,36.17,16.472352
